group,filename,hip_ROM,knee_ROM,ankle_ROM,pelvis_obliquity,trunk_lean_ROM,shoulder_ROM,elbow_ROM,hip_SPARC,knee_SPARC,hip_SI,knee_SI,ankle_SI,hip_waveform_sym,cadence,stride_time,stride_time_CV,kinematic_CV,hip_CRP_MAD,hip_knee_CRP,arm_swing_ROM,arm_swing_SI,double_support,MQS,GDI,confidence,observed_fraction,n_strides
runway,RPReplay_Final1780190565.mov,13.086653613405595,8.077997471279096,14.352965842408267,,,16.644515156003038,11.377868410285425,-10.757593241842436,-11.383912909010974,3.9140758605119412,63.057698514396286,5.156850654933273,39.49475389144966,39.0100025647602,3.0761341222879683,,,80.99113813082711,62.9422791703862,16.644515156003038,5.247386748020742,0.0,21.723619166437416,,0.3695935411397555,1.0,1.0
runway,RPReplay_Final1780190592.mov,61.63415979080813,94.3571272098571,79.15258891102934,24.05755901775732,29.27352990467281,73.14286330055006,52.56391393605776,-17.4858923501712,-17.79964430901842,10.196545203691228,46.34618980941789,1.0015785292948334,11.197692376051998,119.23698145611417,1.0063991769547325,22.708069503346213,56.87509537061282,59.46533178316742,83.68160018504271,73.14286330055006,2.9841557553690787,8.23703878685276,18.20007311849321,14.257806303512652,0.7350728155070448,0.9438405797101449,8.0
runway,RPReplay_Final1780190731.mov,15.986214688375723,15.057856954409573,28.027584273141514,,,14.170187074484843,14.712254628267537,-12.790416834037742,-14.507871868631053,9.966228565842336,30.62742689617592,7.108167929643747,21.943415013526373,147.8065452502458,0.8118720304086159,28.577811698921487,31.536953621251527,68.25703599779133,73.38250524080377,14.170187074484843,3.240680415764986,19.903735993785624,24.726652904879835,16.58061582775676,0.5516645497178317,1.0,7.0
runway,RPReplay_Final1780190776.mov,23.07913996423079,19.809680435737874,25.23507525428245,,,18.249951509160596,29.048715358720756,-11.56735316620848,-13.046824562787494,3.027806436453559,19.045421484981517,0.7826699721910219,39.446265881192566,103.30124815605656,1.1616510172143975,38.84385347997515,29.056697977605555,38.127900213931994,53.135099960218525,18.249951509160596,4.21022876449951,0.0,39.9567622479869,15.36750517771587,0.7829912228690064,1.0,5.0
runway,RPReplay_Final1780190867(1).mov,15.22755716518732,21.673475646151083,23.1108616376884,,,19.03279587165776,18.543343832360836,-11.085474250558502,-11.818706765995673,6.065300154795912,35.92634556689497,2.1234840691496104,49.83688362030324,132.09189576331883,0.9084584584584584,30.572763655760994,27.07953595328983,29.06624905701685,58.31784387765729,19.03279587165776,8.354518248202861,0.0,40.17548590408197,13.384307934423632,0.7771922992788721,1.0,3.0
runway,RPReplay_Final1780190867(2).mov,76.94647495863612,51.18146179446664,35.43779427034119,0.0,,73.49002257255492,57.83133254087206,-15.04116123591642,-14.839480791507627,0.044780225892430685,4.816164253599067,1.0660527711989665,41.68213217624873,125.25102762272,0.9580759717314488,48.982243109569,58.567208898316444,80.24311731684895,80.86216707406167,73.49002257255492,6.10621342450722,4.240772614266591,31.18622512804066,9.74925382878564,0.7538593642951928,0.9944954128440368,10.0
runway,RPReplay_Final1780190867.mov,21.50477421351784,24.90591413891414,26.83268979125928,,,19.312845210019937,13.913245289721711,-10.482144241122349,-12.887015588943983,5.528495219639045,2.689058805266976,3.973663715862583,52.8982478348229,161.6878635512176,0.7421707317073171,34.452269236087794,32.87269256551237,39.59898128384273,35.217677193514675,19.312845210019937,2.234012810923733,26.461538461538463,41.89198464021742,13.736229125995543,0.8306806515489281,1.0,5.0
control,Casual_Man_Walking_Stock_Video_M7DvnEmELpQ.mp4,22.07660049896137,54.44215046721848,28.50509333880789,18.289306962581783,,47.92647605787902,35.7841618859794,-10.085770087387125,-8.699660797295898,21.362209110189603,11.562660499727809,1.5390748784393549,6.131821322975518,103.00429184549355,1.165,29.10554821147806,26.177886782321725,78.97356412399714,74.81717571633195,47.92647605787902,36.6765976094164,6.944444444444445,33.28135426868012,54.080315999872084,0.7932478165295839,1.0,8.0
control,Casual_Man_Walking_Stock_Video_X0AYmUm6DW8.mp4,13.18185324191984,16.680070714433946,25.59352971110345,,,10.84705936662246,20.474127511854583,-8.233418953087469,-10.788330097696504,1.3574497224729016,113.61827080527918,27.595547147492717,66.02680515163335,98.13084112149532,1.2228571428571429,3.853369743567905,20.528111945203783,21.74891935475214,50.98432932400983,10.84705936662246,8.192128050111236,15.774632433618606,46.384441800301,21.808755977871826,0.8884968035727739,1.0,7.0
control,Free_City_Street_Footage_-_Royalty_Free_Stock_Foot_bwJ-TNu0hGM.mp4,116.38787776504506,145.65703033839247,127.46679186780217,39.170023361945404,12.497432510588226,156.74524139244036,121.09816502992672,-39.777000148711736,-41.73930787880132,6.039768403352259,5.247318813501078,15.5881677273935,79.52144651694802,99.90000000000002,1.201201201201201,101.06451652419057,52.7000727835748,41.224410802238545,61.147344304206214,156.74524139244036,8.1610082100048,15.623871659471307,29.511076430551675,11.852137886486908,0.6599319578792394,0.9200887902330743,23.0
